Id,Sentiment,Pasangan Calon,Text Tweet,content_processed
1,negative,Agus-Sylvi,Banyak akun kloning seolah2 pendukung # agussilvy mulai menyerang paslon # aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun kloning dukung agussilvy serang paslon aniessandi opini argumen pmbenaran kecoh
2,negative,Agus-Sylvi,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,agussilvy bicara kasihan lap air mata wkwkwkwk
3,negative,Agus-Sylvi,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,enggak memenunggu qc memenunggu motif cuit sbyudhoyono pasca agussilvy nyungsep
4,negative,Agus-Sylvi,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasihh oh kasihh peluru rw agussilvy mempan menangin pilkada quickcount
5,negative,Agus-Sylvi,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,dukung agussilvy hayo dukung aniessandi putar ronavioleta netizentofa
6,negative,Agus-Sylvi,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",aneh lebay sangkut paut kandidat calgub lebay dukung agussilvy
7,negative,Agus-Sylvi,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,allah swt syukur sbyudhoyono presidensby ahy makna
8,negative,Agus-Sylvi,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,terima dukung ahy sylvi beda
9,negative,Agus-Sylvi,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,terima keistiqomahan rawan ahy agusyudhoyono tlh jakartagubernurbaru signifikan
10,negative,Agus-Sylvi,Mengenang pidato kekalahan #ahy,kenang pidato kalah ahy
11,negative,Agus-Sylvi,"dammnn,!! politik cantik #SBY ngorbanin #AHY",dammnn politik cantik surabaya mengorbankan ahy
12,negative,Agus-Sylvi,batal nyoblos tau nyata ga no 1 kertas ahy kangen mosing,batal nyoblos nyata enggak no kertas ahy kangen mosing
13,negative,Agus-Sylvi,sudah boleh ngakak survey mu jauh panggang dari api ahy,mengakak survey mu panggang api ahy
14,negative,Agus-Sylvi,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,kemarin ahy paslon dki
15,negative,Agus-Sylvi,Karna yang belebihan itu tidak baik ya bah #AHY,belebihan bah ahy
16,negative,Agus-Sylvi,om AA kemana   lepas  AHY kalah kok dia tutup mulut tidak koar  mau bongkar SBY,om aa lepas ahy kalah tutup mulut koar bongkar surabaya
17,negative,Agus-Sylvi,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,catut nama ahy mpo silvi langenggakr hukum enggak wkwkwkwkkwkk
18,negative,Agus-Sylvi,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,fpi enggak suka ahok ahy kalah otomatis dukung lari anisa aniessandi
19,negative,Agus-Sylvi,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,banteng garuda ksatria bpk prabowo gentle ahy agusyudhoyono cinta hajidjarot
20,negative,Agus-Sylvi,"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”",ktp korupsi foto ahy pelan stickmoticons
21,negative,Agus-Sylvi,"Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide, sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id",double lol aniesbaswedan samaenuduh agusyudhoyono samaiskin ide cowokpy ahy sbyudhoyono republika cowok id
22,negative,Agus-Sylvi,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,antasari ahy kalah melempem akting instagram p brxabmtbueb
