Terakhir,Pembukaan,Tertinggi,Terendah
14342.5,14315.0,14353.0,14307.0
14335.0,14312.5,14377.5,14291.5
14295.0,14312.5,14342.5,14272.5
14355.0,14255.0,14404.0,14249.0
14250.0,14225.0,14287.5,14207.5
14220.0,14387.5,14392.5,14180.0
14365.0,14357.5,14391.5,14315.0
14370.0,14440.0,14449.0,14310.0
14395.0,14370.0,14412.5,14292.5
14300.0,14245.0,14345.0,14245.0
14235.0,14215.0,14272.5,14187.5
14233.0,14325.0,14332.5,14220.0
14325.0,14185.0,14392.5,14185.0
14165.0,14165.0,14215.0,14142.5
14120.0,14060.0,14169.0,14040.0
14070.0,14215.0,14229.0,14062.0
14220.0,14307.5,14336.5,14197.5
14305.0,14260.0,14335.0,14247.5
14255.0,14270.0,14287.5,14228.5
14225.0,14245.0,14282.5,14195.0
14200.0,14247.5,14288.5,14176.5
14260.0,14405.0,14410.0,14252.5
14415.0,14435.0,14447.5,14377.5
14450.0,14390.0,14485.0,14371.5
14385.0,14370.0,14408.5,14357.5
14350.0,14465.0,14472.5,14304.5
14460.0,14510.0,14522.5,14434.5
14490.0,14512.5,14560.0,14482.5
14495.0,14485.0,14542.5,14459.0
14525.0,14487.5,14559.5,14456.0
14530.0,14415.0,14572.5,14415.0
14420.0,14390.0,14470.0,14390.0
14370.0,14200.0,14402.5,14197.5
14188.0,14275.0,14288.0,14183.0
14290.0,14295.0,14325.0,14247.5
14280.0,14350.0,14367.5,14278.5
14350.0,14250.0,14405.0,14215.0
14195.0,14145.0,14215.0,14140.0
14280.0,14450.0,14480.0,14247.0
14440.0,14515.0,14540.0,14424.5
14520.0,14537.5,14570.0,14482.5
14560.0,14575.0,14639.0,14550.0
14560.0,14520.0,14587.5,14470.0
14520.0,14420.0,14594.5,14420.0
14410.0,14415.0,14465.0,14390.0
14400.0,14400.0,14475.0,14375.0
14380.0,14350.0,14475.0,14325.0
14290.0,14250.0,14360.0,14232.5
14240.0,14070.0,14275.0,14065.0
14060.0,13972.5,14100.5,13866.0
13970.0,14020.0,14023.5,13965.0
14020.0,14035.0,14057.5,13992.5
14020.0,14055.0,14126.5,14020.0
14020.0,14025.0,14105.0,13995.0
14010.0,14020.0,14217.5,14005.0
13980.0,13910.0,14061.5,13862.5
14040.0,14155.0,14177.5,14050.0
14150.0,14110.0,14274.0,14110.0
