Terakhir,Pembukaan,Tertinggi,Terendah
85.92,85.85,86.08,85.70
85.85,85.00,85.87,84.76
85.14,84.57,85.56,82.78
86.90,86.23,87.82,86.00
86.96,86.61,87.91,85.77
85.43,84.32,86.63,83.50
83.69,83.84,83.95,82.94
83.83,83.78,84.09,83.68
83.82,81.73,84.45,81.58
82.12,82.82,82.94,81.39
82.64,81.38,83.10,81.17
81.22,78.42,81.59,78.36
78.23,78.88,79.45,77.83
78.90,79.62,80.47,78.52
79.46,77.24,80.24,76.73
77.85,77.18,78.58,76.51
76.99,76.02,77.64,75.70
76.08,75.69,76.46,74.27
75.21,76.66,77.08,74.95
76.99,76.58,77.44,75.78
76.56,76.04,77.37,75.36
75.98,75.97,76.92,75.53
75.57,73.38,76.09,72.57
73.79,73.03,73.95,72.27
72.76,71.27,73.16,70.80
71.12,69.21,71.55,68.56
68.23,70.07,70.07,66.04
70.86,71.92,72.26,69.89
72.38,71.48,72.99,71.03
70.87,70.35,71.66,69.39
70.73,71.12,72.03,69.51
71.29,72.04,73.00,70.71
71.67,70.68,72.33,70.32
70.94,72.52,73.34,70.39
72.36,71.86,73.00,70.91
72.05,69.72,73.03,69.52
69.49,67.02,70.15,66.72
66.26,67.50,69.22,65.60
66.50,65.63,67.49,62.43
65.57,67.01,69.49,64.84
66.18,70.04,71.22,64.43
69.95,69.23,72.93,68.86
68.15,78.34,78.65,67.40
77.41,78.38,78.65,77.28
78.39,78.48,79.23,77.98
78.50,76.46,78.86,75.30
76.75,75.75,77.16,74.76
76.10,78.76,79.92,75.37
79.01,78.34,79.36,77.08
78.36,80.54,80.69,77.69
80.76,80.93,81.81,80.03
80.88,80.66,81.20,79.30
80.79,81.21,81.62,79.78
81.59,81.41,82.33,80.20
81.34,84.53,84.97,80.81
84.15,82.16,84.63,81.78
81.93,81.13,82.67,81.05
81.27,79.37,81.80,78.96
78.81,80.18,83.42,78.25
80.86,83.07,83.08,79.69
83.91,83.87,84.41,82.92
84.05,83.36,84.88,82.74
83.57,83.09,83.74,81.41
82.81,82.25,83.21,80.58
82.66,84.39,84.51,82.01
84.65,83.72,84.88,82.97
83.76,83.98,85.41,83.39
83.76,82.61,84.22,81.76
82.50,83.58,83.96,80.79
83.87,83.34,84.25,81.30
82.96,82.37,83.74,81.80
82.44,82.60,83.87,81.84
82.28,81.48,82.66,81.39
81.31,80.59,81.68,80.38
80.44,80.58,81.04,79.42
80.64,80.50,81.62,79.47
80.52,79.59,82.18,79.55
79.35,78.86,80.11,78.63
78.30,77.00,78.89,74.96
77.43,79.04,79.78,76.83
78.93,77.58,79.48,77.47
77.62,75.90,78.38,75.32
75.88,75.12,75.99,74.23
75.03,74.78,76.07,73.14
74.83,74.38,75.79,73.74
75.29,75.43,76.67,74.24
75.45,74.19,75.75,74.16
73.98,73.24,74.27,72.81
73.30,71.97,73.50,71.61
72.23,70.85,72.30,70.64
70.56,70.59,71.63,69.67
70.29,71.92,72.08,69.86
71.97,72.62,72.72,71.21
72.61,72.65,72.99,71.53
72.61,70.76,73.14,70.65
70.46,70.64,71.22,69.98
70.45,69.74,70.97,69.51
69.72,67.97,69.96,67.68
68.14,69.36,69.89,67.56
69.30,68.37,69.75,68.31
68.35,69.11,69.48,67.64
68.80,68.75,69.47,68.27
68.75,69.22,69.23,68.73
69.29,69.76,70.53,69.05
69.99,68.29,70.61,67.84
68.59,68.55,69.24,67.12
68.50,69.18,69.34,68.16
69.21,69.30,69.64,67.67
68.74,67.75,69.05,67.52
67.42,68.00,68.31,67.02
68.36,67.63,68.54,66.92
67.54,65.54,67.80,65.41
65.64,61.96,66.00,61.74
62.32,64.05,64.10,62.11
63.69,64.58,64.76,62.63
65.46,66.58,67.48,64.34
66.59,67.43,67.72,66.33
67.29,67.71,68.27,65.73
68.44,68.91,69.22,67.77
69.09,69.36,69.62,68.46
69.25,68.51,69.45,66.67
68.29,66.85,68.90,66.56
66.48,67.88,67.90,65.15
68.28,69.14,70.18,67.80
69.09,68.06,69.35,67.61
68.15,70.32,70.81,67.85
70.56,71.52,71.96,69.19
71.26,73.91,73.95,70.55
73.95,73.41,74.23,72.93
73.62,72.40,73.68,72.26
72.39,71.90,72.60,71.70
71.65,72.22,72.33,71.08
71.91,72.18,72.43,70.56
72.07,71.71,72.21,71.39
71.91,70.22,72.03,69.86
70.30,66.45,70.51,66.44
67.42,66.60,67.65,65.21
66.42,71.49,71.67,65.63
71.81,71.48,72.30,70.41
71.65,72.96,72.96,71.40
73.13,75.17,75.44,72.21
75.25,74.18,75.52,73.68
74.10,74.74,74.93,73.16
74.56,73.26,74.76,72.72
72.94,72.17,73.26,70.76
72.20,73.85,74.86,71.07
73.37,75.35,76.98,72.94
76.25,75.15,76.40,74.75
75.14,75.22,75.28,75.00
75.16,75.02,75.62,74.41
75.23,73.50,76.22,73.39
73.47,73.47,74.14,72.82
72.98,72.78,73.81,71.97
72.91,73.99,74.45,72.62
74.05,73.32,74.18,72.85
73.30,73.28,73.61,72.32
73.08,72.91,74.25,72.82
73.06,73.41,73.95,72.94
73.66,71.52,73.96,71.15
71.64,71.10,72.17,70.16
71.04,71.65,72.30,69.77
72.15,72.45,72.99,71.61
72.12,71.16,72.49,70.81
70.88,70.65,71.78,70.65
70.91,70.10,71.24,69.68
70.29,69.76,70.65,68.68
69.96,70.01,70.62,69.46
70.05,69.29,70.27,68.47
69.23,69.52,70.00,68.93
69.62,68.91,69.76,68.33
68.81,68.76,69.40,68.19
68.83,67.99,69.00,67.78
67.72,66.68,68.87,66.41
66.96,66.58,67.41,66.41
66.59,66.70,66.75,66.53
66.32,66.95,67.52,66.17
66.85,66.16,66.92,65.47
66.21,66.04,66.43,65.25
66.07,66.02,66.51,65.41
66.05,63.87,66.14,63.63
63.58,61.89,64.07,61.56
62.05,63.39,63.96,61.89
63.36,65.28,65.35,61.95
65.49,66.33,67.01,64.11
66.27,65.50,66.43,64.83
65.37,63.83,65.62,63.33
63.82,65.75,65.81,63.09
66.08,65.46,66.63,64.97
65.28,64.90,65.50,63.68
64.92,65.57,65.75,63.95
64.90,64.90,65.24,63.90
64.71,65.27,65.98,64.50
65.63,66.45,66.76,64.92
65.69,64.53,66.19,64.29
64.49,63.64,64.68,62.91
63.58,64.88,64.95,63.08
65.01,63.70,65.47,63.65
63.86,63.04,64.53,62.67
62.94,61.97,63.30,61.91
61.91,62.06,62.31,60.66
62.14,61.65,62.43,61.25
61.43,61.11,61.87,60.61
61.35,62.39,62.56,60.86
62.44,63.47,64.25,61.50
63.38,62.98,63.63,62.63
63.13,63.32,63.88,62.83
63.46,62.83,63.57,62.53
63.15,60.44,63.44,60.38
60.18,59.64,60.59,59.64
59.70,59.35,60.77,58.73
59.32,59.76,59.95,59.10
59.60,59.52,59.93,58.82
59.77,59.26,60.04,58.12
