Terakhir,Pembukaan,Tertinggi,Terendah
85.90,75.62,87.08,74.30
75.21,67.01,77.44,62.43
66.18,83.36,84.97,64.43
83.57,75.12,85.41,74.23
75.03,68.55,76.67,67.12
68.50,73.91,73.95,61.74
73.95,73.50,76.98,65.21
73.47,66.68,74.45,66.41
66.32,63.64,67.52,61.56
63.58,59.49,65.47,57.63
59.16,61.95,67.98,57.25
61.50,51.99,63.81,51.64
52.20,48.40,53.93,47.18
48.52,45.08,49.28,43.92
45.34,35.24,46.26,33.64
35.79,39.90,41.70,34.92
40.22,42.83,43.43,36.13
42.61,40.39,43.78,39.58
40.27,39.84,42.40,38.54
39.27,35.21,41.63,34.27
35.49,19.04,35.77,18.05
18.84,20.10,29.13,-40.32
20.48,43.70,48.66,19.27
44.76,51.01,54.50,43.85
51.56,61.60,65.65,50.97
61.06,55.47,62.34,55.35
55.17,54.15,58.74,54.07
54.18,54.28,56.92,50.99
54.07,55.00,63.38,52.84
55.10,57.85,57.99,50.52
58.58,59.27,60.94,54.72
58.47,53.42,59.93,50.60
53.50,63.40,63.93,53.05
63.91,60.24,66.60,60.13
60.14,57.22,60.73,54.52
57.22,54.01,57.81,51.23
53.79,45.80,55.37,44.35
45.41,52.45,54.55,42.36
50.93,64.88,65.39,49.41
65.31,73.29,76.90,64.81
73.25,69.89,73.73,66.86
69.80,68.43,70.50,64.43
68.76,73.62,75.27,67.03
74.15,67.07,74.46,63.59
67.04,68.56,72.83,65.80
68.57,64.91,69.56,61.81
64.94,61.55,66.55,59.95
61.64,64.76,66.30,58.07
64.73,60.20,66.66,60.10
60.42,57.42,60.51,55.82
57.40,54.65,59.05,53.89
54.38,51.64,54.85,49.10
51.67,47.08,52.86,46.56
47.23,50.21,50.43,45.58
50.17,46.28,50.41,43.65
46.04,48.63,49.17,42.05
48.32,49.17,52.00,43.76
49.33,50.69,53.76,48.20
50.60,53.95,54.44,47.01
54.01,52.76,54.94,51.22
52.81,54.20,55.24,50.71
53.72,49.07,54.51,48.98
49.44,46.77,49.90,42.20
46.86,48.04,51.93,46.63
48.24,44.85,48.32,42.55
44.70,41.35,48.75,39.19
41.60,48.38,49.35,40.57
48.33,48.82,51.67,45.83
49.10,45.90,50.21,43.03
45.92,38.14,46.78,35.24
38.34,33.90,41.90,33.37
33.75,33.83,34.69,26.05
33.62,37.60,38.39,26.19
37.04,41.73,42.23,33.98
41.65,46.43,48.36,38.99
46.59,45.38,50.92,42.58
45.09,48.10,48.87,43.21
49.20,46.86,49.33,37.75
47.12,58.98,58.98,46.68
59.47,60.29,61.82,56.83
60.30,59.79,62.58,56.51
59.63,47.55,59.85,47.05
47.60,49.45,52.48,42.03
49.76,47.59,54.24,46.67
48.24,53.76,55.11,43.58
53.27,66.00,69.54,52.44
66.15,80.59,80.98,65.69
80.54,91.36,92.96,79.44
91.16,95.81,95.91,90.43
95.96,97.70,98.67,92.50
98.17,105.44,106.09,97.60
105.37,102.92,107.73,101.60
102.71,99.72,104.50,98.74
99.74,101.53,104.99,98.86
101.58,103.00,105.22,97.37
102.59,97.40,103.80,96.26
97.49,98.50,98.97,91.24
98.42,92.71,100.75,92.56
92.72,96.32,96.65,91.77
96.38,102.31,104.38,95.95
102.33,107.07,110.70,101.05
107.65,105.26,112.24,102.22
105.03,96.58,109.32,96.07
96.56,91.73,99.01,91.26
91.97,93.08,97.17,90.11
93.46,97.36,97.80,85.61
97.23,91.76,97.35,89.33
92.05,97.42,98.15,91.57
97.49,91.78,98.24,91.52
91.82,88.85,91.99,85.21
88.91,86.10,89.80,84.05
86.24,92.15,93.66,84.66
92.19,96.38,100.42,88.95
96.47,88.03,98.29,86.92
88.06,84.65,92.94,82.10
84.96,86.44,87.03,77.28
86.53,104.89,106.43,85.86
104.87,103.27,105.49,100.68
103.02,106.82,110.55,102.13
107.07,98.38,109.95,95.44
98.48,99.70,103.74,97.40
98.83,100.51,102.44,92.52
100.36,92.58,103.37,89.17
93.19,78.92,94.65,74.95
79.20,88.73,90.52,77.11
88.81,96.20,98.60,75.71
95.70,95.12,100.62,93.45
95.42,102.68,103.31,89.61
102.70,113.89,114.83,94.63
113.93,106.62,114.18,105.31
106.72,96.97,106.95,96.22
96.97,92.20,103.41,83.85
92.19,91.31,92.84,85.11
91.38,83.66,92.06,83.63
84.11,81.45,88.63,80.06
81.43,79.84,84.43,79.25
79.97,71.70,80.18,71.67
71.92,78.95,82.97,70.76
78.95,75.37,79.69,71.09
75.63,73.97,79.38,69.51
73.97,86.20,87.15,64.24
86.15,83.36,87.09,80.53
83.76,79.84,83.85,78.06
79.66,72.84,80.51,69.50
72.89,79.63,83.95,72.43
