Terakhir,Pembukaan,Tertinggi,Terendah
85.75,85.00,86.08,84.76
85.14,84.32,87.91,82.78
83.82,78.88,84.45,77.83
78.90,75.69,80.47,74.27
75.21,73.38,77.44,72.57
73.79,70.07,73.95,66.04
70.86,72.04,73.00,69.39
71.67,67.02,73.34,66.72
66.26,69.23,72.93,62.43
68.15,75.75,79.23,67.40
76.10,80.66,81.81,75.37
80.79,81.13,84.97,79.78
81.27,83.36,84.88,78.25
83.57,83.98,85.41,80.58
83.76,82.60,84.25,80.79
82.28,79.59,82.66,79.42
79.35,75.90,80.11,74.96
75.88,74.19,76.67,73.14
73.98,71.92,74.27,69.67
71.97,69.74,73.14,69.51
69.72,69.11,69.96,67.56
69.29,69.30,70.61,67.12
68.74,61.96,69.05,61.74
62.32,67.71,68.27,62.11
68.44,67.88,69.62,65.15
68.28,73.91,73.95,67.61
73.95,72.18,74.23,70.56
72.07,71.49,72.21,65.21
71.81,74.74,75.52,70.41
74.56,75.35,76.98,70.76
75.16,73.99,76.22,71.97
74.05,71.52,74.25,71.15
71.64,70.65,72.99,69.77
70.91,69.52,71.24,68.47
69.62,66.68,69.76,66.41
66.32,63.87,67.52,63.63
63.58,65.50,67.01,61.56
65.37,65.57,66.63,63.09
64.90,63.64,66.76,62.91
63.58,62.06,65.47,60.66
62.14,62.98,64.25,60.61
63.13,59.35,63.88,58.73
59.32,61.50,61.50,57.63
61.45,60.93,62.27,58.85
60.97,61.55,61.90,57.25
61.42,65.56,66.40,58.20
65.61,66.68,67.98,63.13
66.09,61.95,66.42,59.24
61.50,58.88,63.81,58.82
59.24,59.98,62.26,58.59
59.47,57.06,59.82,57.00
56.85,51.99,57.29,51.64
52.20,52.17,53.58,51.82
52.27,52.00,53.79,51.44
52.36,52.58,53.93,51.50
52.24,48.40,52.75,47.18
48.52,48.23,48.96,47.50
48.23,48.54,48.62,46.16
49.10,46.73,49.28,45.69
46.57,46.15,47.74,44.95
46.26,45.34,46.68,43.92
45.53,42.46,46.26,42.29
42.15,40.17,42.46,40.15
40.13,37.34,43.06,37.16
37.14,35.24,39.35,33.64
35.79,39.69,39.83,34.92
39.85,40.69,41.70,39.57
40.88,40.40,41.29,39.04
40.60,37.00,41.47,37.00
37.05,40.07,40.80,36.63
40.25,40.98,41.27,38.66
