Terakhir,Pembukaan,Tertinggi,Terendah
178480,178770,179430,177040
178390,179520,181140,176220
178810,185070,185300,178020
185430,187630,188190,184700
187080,182220,187330,181590
181900,178680,182220,176100
178590,179640,181460,177460
179830,176950,181750,176280
177020,176030,180360,175210
175940,176240,178320,174790
176010,175420,176640,172370
175380,175560,178970,174000
175340,179130,181270,174750
179420,183400,183400,178560
183570,182290,183870,180660
182150,178380,182370,178020
178600,178240,179900,177520
178030,176600,178350,168000
176510,181860,183740,176200
181910,180800,183870,179800
180750,181820,183070,179520
182110,181460,184030,179720
181670,179370,182440,179340
178930,178820,180090,175760
178400,177000,180100,177000
177480,188270,188270,176880
188550,189090,191050,188060
189770,191500,192280,186180
191100,188900,191640,188720
188450,185320,189260,185310
184610,184040,185160,181800
183920,178460,184760,178380
177570,178840,179540,176700
178560,179590,180450,177500
178810,174030,179020,173310
175250,173200,176000,173200
173520,173680,173900,168610
174160,174650,175380,172810
175100,173750,175860,173360
172930,171850,174570,168720
171120,175950,175950,169860
174090,179700,181970,173000
178620,181980,181980,177500
183250,183080,186280,182880
182390,187000,187590,179730
185950,187920,188610,184880
187020,183880,188030,182550
184640,184810,187510,183960
185420,193470,197990,185000
191400,191390,191390,191390
190000,190670,190670,190670
190390,190780,190790,190460
185870,185690,187320,185000
185560,179510,186230,178800
180480,182660,183680,182500
189630,189450,189450,188970
191590,189680,190010,188650
198220,192090,197510,192090
190830,190970,190970,190050
193510,194190,194190,192190
193640,193990,193990,193990
195600,191810,191810,191810
193440,192510,192510,192510
189290,194550,194550,191940
199050,197410,199790,196530
197650,198000,198000,198000
196160,196200,196900,196200
200130,195830,199200,195830
198060,200550,200550,196820
198780,206370,206370,196400
207300,209850,212170,209050
202690,196480,203500,196480
196570,186200,196100,186200
186100,185730,186390,185000
185810,183390,187190,183390
182830,181650,183800,181120
181440,180300,181400,179800
178580,177030,178690,176000
177180,173940,178640,173940
172000,177450,177530,172750
177680,176290,176400,172250
177490,179540,179540,177190
179040,172910,175030,172910
175030,172910,172910,172570
172110,172760,174410,172010
174890,171560,176220,170950
170890,177910,177910,171780
175870,174750,174750,174750
165410,166570,167250,157770
166100,152000,169500,149890
150140,148500,150300,148500
153220,170000,171210,151430
169160,160910,170360,159390
159660,167330,171180,158200
168630,160500,167120,160350
162410,159950,160840,158710
161280,161880,161960,157300
162610,161000,161530,158930
161540,159500,159500,159500
160340,158680,158800,156340
160330,159020,163790,157020
159640,154390,158360,154010
156120,151070,154500,151070
152310,150540,151040,150170
152300,149320,151400,148940
150420,149400,151350,148500
151070,149090,149540,148100
150800,149840,150920,148880
151360,149400,150470,148000
151040,153470,153470,153470
155440,155200,155200,155200
154770,154880,155670,154880
153500,152900,153000,151000
152980,153890,154800,150800
155190,153300,155180,149900
154830,155660,157300,152570
154530,154260,155350,152880
153070,154010,155860,152490
154330,156280,159070,153920
155720,158450,158450,155500
156350,154390,156350,153020
154920,153600,157170,152310
153450,148740,154770,148740
148530,146900,148560,144330
146040,145860,146800,145610
146550,145340,148850,145340
145090,143690,146720,143060
143660,144400,146550,142440
144680,143910,147390,143900
143270,137970,144400,137970
138150,137800,138920,136700
138190,135650,138850,135650
134960,132260,134780,132260
133010,132420,132920,132010
132250,135020,135020,132250
133720,133400,133800,133400
133170,133160,133570,132300
133920,132850,133920,132380
132690,134240,134240,132690
134630,135190,136390,134630
134520,134270,134520,134080
134600,134800,135410,134220
136930,136820,136820,136820
136060,135000,135000,135000
135850,135850,135850,135850
135830,137400,137400,137400
139250,138800,138800,138800
138120,138120,138120,138120
137780,137780,137780,137780
138110,137760,138260,137760
136400,136000,136000,136000
134810,134810,134810,134810
135540,135540,135540,135540
135100,135180,135180,135180
134830,134300,134300,134300
132310,132310,132310,132310
130700,130700,130700,130700
131950,131390,131390,130950
129270,128970,128970,128970
129610,129610,129610,129610
129490,129490,129490,129490
128220,128220,128220,128220
130730,129670,129670,129110
130970,130970,130970,130970
130380,130380,130380,130380
129630,127120,127120,127120
128020,128020,128020,128020
126870,126000,127000,126000
127430,127430,127430,127430
127380,126960,127100,126950
127210,126610,127190,126610
127770,127770,127770,127770
128500,126600,128020,126600
125810,127340,127340,126580
129460,130280,130500,129860
129940,130690,130910,128880
130900,130760,130760,130760
131680,132000,132000,130200
132900,132700,132700,132700
134460,134460,134460,134460
134370,135370,135370,135370
136170,137680,137680,136000
136970,136970,136970,136970
139480,138960,139050,138960
139010,139240,139240,139240
140320,140320,140320,140320
139130,140530,140530,140530
142040,141350,141350,141330
141470,141470,141470,141470
142360,142360,142360,142360
143820,146010,146010,144200
144790,144790,144790,144790
143590,143590,143590,143590
142600,142600,142600,142600
145500,145500,145500,145500
141630,143340,143340,143340
142800,142800,142800,142800
142420,142420,142420,142420
142900,142900,142900,142900
145280,145280,145280,145280
141010,141010,141010,141010
143460,143460,143460,143460
145370,145370,145370,145370
142590,142590,142590,142590
142570,139800,139800,139800
140830,139900,139900,139900
139190,137210,137210,137200
135980,135370,135430,135370
133740,134200,134200,133400
132810,132760,133050,132760
136280,138200,138200,138200
137160,137160,137160,137160
137800,137800,137800,137800
135450,135450,135450,135450
134690,134690,134690,134690
134910,135170,135170,135170
135620,138200,138200,138200
138040,136200,137470,136200
135000,135330,135330,135330
135760,138200,138200,138200
136940,136730,136730,136730
139510,140660,140660,140660
141930,141930,141930,141930
139710,138190,139370,138190
136480,136480,136480,136480
135880,136270,137250,136270
136140,132640,132640,132640
133170,133170,133170,133170
134260,132360,132360,132360
132590,132590,132590,132590
129880,128900,128900,128900
128240,128990,128990,128230
131400,132280,132280,131370
132770,132770,132770,132770
132850,134280,134280,134280
134390,134390,134390,134390
135310,135310,135310,135310
134480,134480,134480,134480
132990,130750,134000,130750
130570,130610,130610,130320
130580,132690,132690,131210
134710,134710,134710,134710
136700,135980,137800,135980
136670,136670,136670,136670
133680,133310,133310,133310
132980,133870,134400,133870
133040,131650,131650,131650
131360,129400,129400,129400
128400,130760,130760,130750
130880,130880,130880,130880
133840,133840,133840,133840
131940,131940,131940,131940
131450,131410,132390,131410
130220,128900,129100,128900
127170,129960,129960,127510
128920,128400,128400,128400
128130,126280,126280,126280
125570,123240,125600,123240
123450,123900,123900,123900
121680,121680,121680,121680
122090,122090,122090,122090
123600,123670,123670,123670
124240,124240,124240,124240
124550,124550,124550,124550
127640,127640,127640,127640
128270,133400,133400,133400
136570,136570,136570,136570
133710,133710,133710,133710
132300,132300,132300,132300
131040,131040,131040,131040
130450,130450,130450,130450
137040,138350,138350,138350
139600,139600,139600,139600
136710,138670,138670,137800
139310,139310,139310,139310
138530,138530,138530,138530
138320,138900,138900,138440
140800,141070,141070,141070
140680,140990,140990,140990
140790,140790,140790,140790
141570,140280,140280,140280
138550,138550,138550,138550
138350,138350,138350,138350
141200,141200,141200,141200
139430,139430,139430,139430
137680,137680,137680,137680
134290,134290,134290,134290
132770,132770,132770,132770
129460,129460,129460,129460
126760,126760,126760,126760
130590,130590,130590,130590
131950,131950,131950,131950
134010,134010,134010,134010
134140,134140,134140,134140
127880,127880,127880,127880
127970,127970,127970,127970
128730,128730,128730,128730
126890,126890,126890,126890
127240,129900,129900,126970
130200,128500,128640,128500
130860,130400,130400,129900
131560,131560,131560,131560
125880,124600,124600,124600
126740,123000,123000,123000
127120,124380,126900,124380
119800,122040,122040,122040
116190,116190,116190,116190
114260,114260,114260,114260
113750,113750,113750,113750
115170,115170,115170,115170
112100,112100,112100,112100
113590,113590,113590,113590
112330,112330,112330,112330
113380,113380,113380,113380
114320,114320,114320,114320
111450,111450,111450,111450
113380,113100,113840,113100
114130,114130,114130,114130
114790,114790,114790,114790
119520,119520,119520,119520
121870,121870,121870,121870
124660,124660,124660,124660
122240,122240,122240,122240
120420,120420,120420,120420
121880,121880,121880,121880
121410,118840,118840,118840
118190,118190,118190,118190
120050,120050,120050,120050
121840,121840,121840,121840
124680,124680,124680,124680
120230,120230,120230,120230
118580,118580,118580,118580
118310,118310,118310,118310
118000,118000,118000,118000
123070,123070,123070,123070
125660,125660,125660,125660
126150,126850,126850,126800
127310,127310,127310,127000
129940,129940,129940,129600
128100,128100,128100,128100
126660,126400,126680,126300
128070,128890,128890,127650
129970,131750,131820,129200
131890,131890,131890,131890
128250,128250,128250,128250
126610,126610,126610,126610
126040,126040,126040,126040
128810,128810,128810,128810
129330,129330,129330,129330
128820,128820,128820,128820
129190,129190,129190,129190
127470,127470,127470,127470
124890,124890,124890,124890
126560,126560,126560,126560
130940,130940,130940,130940
130320,132330,132330,132330
132520,132520,132520,132520
133260,136700,136700,136700
138460,138020,138020,138020
141760,138000,139110,138000
140490,135740,138000,135740
135740,134000,134000,134000
133770,133770,133770,134670
119530,119800,119800,117270
119590,122310,122310,118400
122200,119060,123800,118720
119010,116000,122040,114170
117520,119770,120100,116380
119750,118310,120240,118060
118500,117100,119100,114800
116960,116640,117230,113290
117110,123020,123100,116140
123120,123730,124400,122790
123830,122980,124700,122700
122100,118770,122900,118280
119220,121630,122220,119100
121410,121490,121680,120950
121530,122670,123830,121620
122990,126840,126840,122700
126580,128450,128640,126030
128580,127730,129370,127370
127860,130140,130210,127200
130450,130840,131640,129200
130890,129440,132210,128260
129360,130740,131090,127970
130310,131100,131550,129480
130920,133280,133280,129410
133700,131960,134370,131320
132040,131530,133140,131180
131900,131230,132560,131200
131620,127980,132140,126090
127370,125270,127470,125100
125210,125000,125660,124050
124560,129190,129190,124180
129160,129070,129500,128740
129330,128210,130690,128120
128730,130560,131420,128550
130260,130540,130540,127670
130070,129000,130460,127240
129340,132010,133000,129150
131870,130140,132380,129630
130320,129430,130610,127730
129380,133300,133300,128590
133600,138610,139140,132580
137900,133600,138660,133050
133810,133590,135410,132920
132140,132430,134400,132110
132390,132290,133060,130910
131900,126960,132070,126570
126330,124240,127370,124120
124010,125980,126770,123750
126450,125640,126940,123520
125170,125060,125430,123820
124670,123280,124700,121860
123840,121500,123900,118200
121610,120520,121850,119590
120510,123840,125060,118870
123570,123020,126700,122220
123030,125140,125150,121290
125060,123110,125480,122900
124400,128470,128480,123650
128730,128160,129330,126850
128450,131460,132360,128130
131310,135140,135970,130800
135240,131680,135300,131390
131440,127580,132600,125410
126800,131380,133000,126380
130970,134580,135090,128000
133840,132710,134380,130940
133250,132840,137300,129210
130840,138980,138980,130530
138670,139300,141440,136710
139610,139860,142800,139130
139570,137900,139820,135500
137170,131720,137890,131720
131290,131120,131830,127400
131060,132720,133840,128300
132170,131700,134510,131700
129330,129210,130000,127290
127780,121880,128500,121540
121290,123470,126630,120890
122380,129730,129730,118320
129160,139030,139050,126890
138730,137880,139350,136600
138300,138910,142270,137790
139260,138080,142110,137980
138680,134290,139570,134290
136490,144000,144440,135910
143680,146810,147720,142300
146430,146270,148710,144000
145360,140680,148000,140580
139530,147820,148740,132300
150100,157580,158930,148020
157540,159680,160260,153910
159480,160710,160810,159030
160620,160590,161310,160160
159250,157600,159600,157570
157660,158080,158550,156180
157190,157940,161280,156600
157240,161000,161700,155450
160880,166650,166800,159950
166600,166800,168340,166160
166940,165160,168320,165160
165640,169030,169470,165720
168660,166540,169460,166410
166000,165650,167380,164380
164810,165540,169380,162570
165490,165770,166670,165370
165910,169050,170280,163580
169580,170420,172230,168990
170400,171490,172190,168400
171090,175030,175050,170840
175130,172180,173500,172180
171430,173320,173490,170630
173030,168280,173410,167430
167410,171200,172510,167430
171090,171500,172850,169860
172280,175000,175070,172100
175800,177800,177800,175360
177860,176600,179480,176330
177110,177260,178220,173760
177550,177480,178530,175380
176980,173310,177450,172720
173750,168910,173820,168770
168460,167490,169000,164620
166980,161400,167270,161160
161630,162200,162370,159120
161970,160470,162410,160300
160600,162290,162750,158310
161790,157170,161490,156980
158250,158620,159600,156990
159160,158210,159980,155720
157840,159710,162400,158700
160350,157490,160040,154840
156600,162260,163070,156000
162700,160800,163000,158300
159010,162300,163970,156650
162050,157470,163000,153040
156880,159190,159410,153440
159160,156300,159080,152850
158360,163790,164000,158610
164470,166300,167050,162940
166400,164240,166690,162510
164210,165080,165680,163200
165910,164530,168010,163620
162850,167040,168280,161300
166930,166500,169290,164430
166230,166120,166800,163380
165550,170810,170810,163740
171090,170550,170950,166600
170880,177360,179040,166900
177510,173610,178600,173360
172450,172500,173700,170700
172330,172800,175150,170640
173790,173720,176130,171570
173180,167690,173410,165830
166370,164370,166440,164210
163040,161430,165610,160780
161610,156890,162780,156600
156580,159900,159900,152500
160470,159640,163500,158970
159560,170750,170820,156560
171280,174890,175260,170300
174700,171130,176290,169990
168550,170460,170460,167440
172470,177900,178310,171400
178750,177150,179700,175480
175530,174190,176600,168250
174620,164620,175200,163880
163510,168360,169350,160870
168180,164560,169100,164560
163450,162780,167810,159660
162040,164640,166540,156240
163750,181470,181890,163630
181210,185240,185240,176850
185640,188630,191160,179280
187370,181790,188420,178310
179410,186860,190930,170730
184890,173490,187440,173050
174020,167910,181350,167810
164880,162300,168180,160700
162830,161000,163490,160280
160130,159280,160880,158240
158980,155000,159280,154200
154120,149040,154260,149030
148230,150350,151400,148000
150050,153600,155850,149850
153860,152810,154160,151130
152860,154290,155390,152640
154170,153670,155060,152000
153630,151050,153850,150700
150880,148930,151330,147300
149340,150150,152410,148480
149120,157290,157660,147100
155600,151330,156870,149500
150320,148630,150830,147750
148530,147600,148750,144440
147340,142910,147550,142880
142810,141320,144000,141200
142610,143350,144690,143040
141590,142000,142770,138550
142150,143450,144500,140380
142820,141070,144050,140770
140870,139510,141530,139510
138820,135780,139180,135660
135990,134580,136880,134380
134830,133900,136000,132330
134070,135230,135230,130770
134100,136510,137620,133860
136040,136900,139250,135670
136850,141560,142390,135550
142110,137350,142070,137350
138000,137950,139000,137370
137860,138450,140760,136250
138430,141400,143110,137200
140540,136400,141510,135260
136230,136940,137780,136450
135220,136370,137260,132950
136540,139050,142320,136010
139730,136030,139800,132750
135710,133360,135870,132110
132440,135800,137260,131750
137110,134670,138390,134360
134420,131830,136320,131200
131610,129780,132000,128750
129600,128170,129740,127180
127560,124260,127960,124260
124450,125610,126020,123900
124920,123710,125430,123300
123600,122890,124330,121150
122720,121800,123760,121800
121490,120580,121600,119100
120340,118180,121100,117470
118170,119260,119260,115870
118770,118220,119860,118000
118800,120620,121740,118670
120960,120730,121300,118530
120740,125450,126200,120080
125580,125740,126480,122690
125720,123020,126150,121770
122890,122040,125210,121100
121620,121700,122820,119690
121220,118400,121850,118400
117570,123330,123590,117700
122740,120200,124650,118920
121000,117860,121080,115920
118010,116010,118130,114860
115310,113390,115460,112400
113630,116850,116900,113040
116110,112230,116480,111990
112510,111070,112770,110110
110420,110210,110470,108550
110740,110420,113140,110140
110150,113460,113630,109990
113480,111930,114500,111360
111830,112340,112740,108870
112130,109480,112700,109240
108950,106750,109710,106160
105220,108100,112490,104520
