Terakhir,Pembukaan,Tertinggi,Terendah
180870,183015,183280,178145
182860,177740,183140,175300
177650,178680,188190,176100
178590,175910,181750,174790
175850,181860,183870,172370
182010,181860,183740,168000
181910,177600,184030,177500
177770,191500,192280,175760
191100,178460,191640,178380
177570,171790,180450,171790
172240,175950,175950,168610
174090,187000,187590,173000
185950,193470,197990,182550
191400,182680,191390,182680
179720,192090,197510,178800
190830,191810,193990,190050
192270,196200,198000,191940
200950,209850,212170,195830
202690,183000,203500,183000
183650,177450,183500,172750
177680,172010,179540,172010
171320,174750,177910,170950
160670,148500,150300,148500
159660,160600,170740,159520
162610,159500,159500,159500
156760,151590,154420,149720
151070,153470,153470,153470
155690,154880,155670,154880
151450,157580,157580,153670
156310,145020,158240,145020
147330,144450,147420,144450
145290,137310,142260,137310
135750,133420,135020,132010
134040,134270,136390,132380
135040,135000,136820,134220
137530,138260,138800,137400
138400,135180,137760,135180
134710,131390,134300,130950
129270,128970,128970,128970
128820,127120,129670,127120
126870,126610,127190,126000
127770,130800,130800,126580
130980,132700,132700,130190
134370,139240,139240,135370
139500,141350,141350,140530
141910,146010,146010,144200
142600,143340,143340,143340
141920,141920,141920,141920
143940,139900,139900,139800
139190,132760,137210,132760
135730,138200,138200,138200
134770,135330,138200,135170
135760,140660,140660,136730
138850,132640,139370,132640
134070,128990,132360,128230
131400,134280,134280,131370
134850,132690,134000,130320
134710,133310,137800,133310
132980,130760,134400,129400
133430,128900,132390,128900
129180,123240,129960,123240
123450,123670,123900,123670
123840,133400,133400,133400
133370,133370,133370,133370
137040,138670,138670,137800
136790,140990,141070,138440
141570,140280,140280,140280
137500,137500,137500,137500
126930,126930,126930,126930
134140,134140,134140,134140
128090,130400,130400,126970
127330,122040,126900,122040
116190,116190,116190,116190
112100,112100,112100,112100
112390,113100,113840,113100
119520,119520,119520,119520
118360,118840,118840,118840
121690,121690,121690,121690
118310,126850,126850,126800
127080,126400,126680,126300
128070,131750,131820,127650
127300,127300,127300,127300
127220,127220,127220,127220
130940,136700,136700,132330
138460,134000,139110,134000
133540,133540,133540,134670
117520,116640,120240,113290
117110,120770,124700,116140
121050,128450,128640,120400
128580,128410,132210,127200
128130,132670,134370,128060
132180,125000,132870,124050
124560,128870,131420,124180
129560,128510,133000,127240
128340,133590,139140,128240
132140,124240,134400,124120
124010,120430,126940,120430
120190,125140,126700,118200
125060,132570,132570,122900
132360,132800,135970,125410
132650,139300,141440,129210
139610,132300,142800,127400
131240,123470,134510,120890
122380,138910,142270,118320
139260,147580,148710,134290
147220,159680,160260,132300
159480,157960,161310,156180
157770,166390,168340,155450
166060,167280,169470,162570
167480,171490,172230,163580
171090,172230,175050,167430
171750,176600,179480,169860
177110,168910,178530,168770
168460,161340,169000,158310
161050,159710,162750,155720
160350,156000,163970,154550
156260,166500,167050,152850
166340,167040,168280,161300
166930,169860,172460,163380
170990,173820,179040,166900
173780,156890,174770,156600
156580,174700,176290,152500
174550,170670,179700,167440
172420,162780,175200,159660
162040,182580,191160,156240
182850,162300,190930,160700
162830,150220,163490,148000
150230,153570,155850,149070
153590,157290,157660,147100
155600,143340,156870,141300
143890,141530,144690,138550
140930,133310,141570,132490
133380,141560,142390,130770
142110,138680,143110,136250
138500,136030,142320,132750
135710,130900,138390,130900
130780,125230,131520,123900
124830,118180,124940,117470
118170,124170,124240,115870
124550,121700,126480,119690
121220,117860,124650,115920
118010,111290,118130,111130
111330,111930,114500,108550
111830,108100,112740,104520
108300,109710,116120,107320
