Terakhir,Pembukaan,Tertinggi,Terendah
17848,17763,1791,17704
17767,17843,17884,17733
17855,17851,17943,17801
17847,17795,17893,17724
17795,17877,1789,17764
17839,17694,1788,1766
17627,17838,17852,17622
17843,17774,17957,17737
17765,17869,18114,17712
17852,17952,18015,1782
17881,17923,18193,17816
17924,17898,17953,178775
17869,17923,17988,17802
17863,18087,18152,17843
18091,18507,1853,18053
18543,18638,18705,1847
1864,18717,18759,18594
18728,18545,18731,18538
18567,18674,18819,18535
18692,18763,18763,1861
18708,18663,18733,18499
18663,18539,18708,18476
18506,18357,18728,18252
18329,18284,18369,18232
18302,18222,18304,18159
1819,17948,18222,17876
17956,1773,18022,1773
1766,1791,1791,1761
17915,17967,17994,17897
17979,17868,17995,17829
17859,18033,18042,17746
18047,17999,18146,17952
18008,17965,18027,17867
17954,18108,18112,17849
18088,17964,18133,17953
17983,17868,18175,17856
17838,17845,17916,178
17868,17715,17911,17711
17724,17668,17877,17656
17676,17695,17736,17628
17702,17994,17994,1767
17998,17957,18036,17899
17967,17619,17984,176
17612,17557,17717,17538
17577,17603,17623,17521
17594,17564,17832,17556
17611,17657,17693,17545
17637,17624,17674,17479
17628,17729,17729,17511
17694,17624,17726,17497
17601,17591,17664,17516
17585,17281,17663,17245
17249,1736,17476,17237
17395,17528,17556,17299
1754,17542,17626,1748
17538,1746,17599,1743
17518,17714,17786,174
1781,17771,17897,17672
17803,17678,17846,17613
17659,17556,177,17456
17534,17568,17691,175
17587,17981,17986,17475
17969,18083,18096,17941
18092,17964,18127,1783
17965,17913,18021,17868
17942,17979,18077,17904
18021,17936,18048,17878
17957,17989,18055,17856
18006,1834,1834,1796
182565,182995,183065,182365
183005,18322,18325,182965
18357,18135,18387,18135
18134,18184,1821,18095
1818,18186,18243,18138
18201,18144,18218,18066
18142,18229,1828,18126
18215,17967,18237,17887
17972,17952,18021,17834
1793,18059,18059,1787
18105,18095,1814,18053
18083,17838,18103,17802
1786,17842,17923,1782
17851,17915,17963,17766
17864,17904,17975,17841
17898,1791,1799,1785
17919,17824,1793,17752
17803,17598,17835,17585
17538,17546,17605,17453
17554,17323,17578,1728
17337,1734,17404,17207
17286,1766,17664,168
17651,18068,18068,1762
18109,18166,18189,18021
18164,18204,18374,18111
18161,18179,18192,18118
18242,18186,18251,18113
18191,18347,18361,18171
18377,18135,18387,18135
18065,18103,18156,1798
18057,18029,18103,17991
18051,1808,18161,18023
18075,18128,18133,17952
1811,18067,18134,17982
18091,18145,18175,18
1817,18194,18307,18114
1815,18182,18218,18013
18211,18376,18376,18156
1835,18341,18403,18268
1831,18132,18352,18116
18159,18143,1821,18083
18119,18146,18147,17972
18167,1809,18187,1803
18062,18099,18244,17996
1808,18053,18153,18036
18002,17937,18212,17934
17913,17865,179465,178475
17864,1788,1788,17858
17893,1783,18009,1781
17827,1776,1789,1775
17777,177,17792,17595
17695,1781,17826,17576
17869,17882,17912,17802
1784,1783,1797,17826
17828,17848,1794,17789
17896,17874,1801,17804
17834,17913,17938,17772
17888,177,1792,177
17748,17861,18008,17688
17805,18187,18301,1774
18672,18637,18685,18141
18622,18715,18761,1859
18718,18827,18827,1852
18855,19102,19105,1883
19022,18948,19076,18806
19014,19007,1903,18969
19003,19045,191,18952
19046,18909,19082,18909
18977,18744,19026,18618
18791,19123,19123,18739
19158,19043,19161,19038
19109,1915,19228,19009
191115,19068,19134,190485
190675,19076,19079,19061
1911,1902,1914,18936
19044,1907,19096,18977
19093,19153,19164,19088
19059,18872,1906,18872
18924,1889,18931,18888
18845,18843,18913,18818
18895,18838,18898,18757
18891,18751,18926,1871
18757,18756,18826,18756
18752,18532,18757,18531
18461,18462,18516,18459
18319,1824,18353,1818
18305,18424,18427,1822
18438,18473,18473,1827
18455,18404,18496,18404
18392,18254,18476,18254
18234,18027,18237,18017
17922,17857,17901,17857
1784,17915,18024,17838
17995,17846,17988,17846
17757,17756,17792,17737
1776,17954,17954,1767
17818,178,17878,17767
17868,1789,1789,17858
1788,17884,17899,17881
17856,17919,18029,17854
17901,17948,17948,17883
18012,17892,18045,17892
17865,17784,17868,1775
17787,17959,17959,1779
17881,17705,17902,17683
17747,176,17769,176
17441,17521,17521,17436
17553,17331,17546,17331
17405,17403,17403,17403
17525,17487,17547,17487
17659,176,176,17584
17488,1749,1749,17489
17502,17428,17506,17428
17361,1732,17365,1732
17352,17179,17354,17179
17224,16912,17212,16861
16928,1711,1711,16888
17216,17368,1739,17158
17416,17325,17405,17281
17345,17433,17538,17341
17426,17424,17424,17422
17349,1738,1738,17343
17478,17465,17465,17368
1751,17524,17524,17421
17421,17586,17586,17365
17362,17378,17504,1737
17405,17357,17418,17357
17389,17375,17383,17336
17293,17296,17358,1722
17329,17457,17457,17291
17322,17266,1728,17237
17282,16913,17281,16913
16898,17185,17185,16872
17112,16986,17151,16986
17127,17235,17248,1704
17276,1739,1739,17185
17453,17327,17454,17327
17346,17595,17595,17595
17409,1769,1769,173
17863,1809,1809,17855
18071,18197,18197,17988
18146,18158,18158,18038
18171,1797,1819,1797
17862,1775,17955,1775
17839,17906,17906,17817
17821,1801,18013,178
18085,18198,18198,18082
181875,18209,1827,18156
182105,182245,18263,182015
18325,18288,18307,18288
18366,18335,18355,18335
18524,1862,18628,18522
18472,18526,18576,1847
18433,18308,18474,18308
18239,1813,18238,1813
18018,18358,18358,17973
18457,18455,18473,18455
18431,18518,18518,18418
18715,187,18759,187
18595,18567,18861,18567
18513,18488,18738,18488
18595,18588,18608,18488
18656,18686,18686,1857
18696,18792,18792,18778
18702,18529,18697,18529
18795,18765,18794,18757
18805,18803,18803,18803
1855,18388,18588,18255
18366,180965,183945,180965
180975,18268,18291,18036
18464,184,1842,18396
18692,18566,18702,18566
18727,18751,18751,18712
18624,18622,1866,18582
18696,18481,18678,18481
18542,19358,19358,185
19328,19442,19467,19325
19291,19759,19799,19265
19749,19653,19755,19653
19667,19347,19678,19347
19016,19016,19016,19016
1914,191,19152,19029
19118,19139,19139,19139
19008,18932,19003,18905
1898,19008,1912,18858
19,18889,1897,18869
18942,18815,18923,18726
18865,18911,1892,18756
18983,19067,19067,19067
19039,18936,19037,18921
19049,19078,19079,19046
18737,18712,1876,18649
18709,18502,18657,18502
18479,18483,18491,183
18587,18489,18595,18366
18525,18663,18663,18663
18531,18831,18831,1844
18898,1877,18866,18745
18813,18569,18732,185
18556,185,18604,18428
18551,18596,18623,18588
18446,18443,18443,18369
18346,18268,18268,18268
17972,17951,17951,1788
18048,18367,18368,18367
1807,180625,18168,18042
18275,18359,18359,1825
1829,18266,1828,18266
18627,18852,18896,18465
18963,18897,18938,18897
18853,18733,18775,187
18971,18945,18945,18945
19109,19062,19062,19035
19148,19031,19047,1903
19159,18949,19139,18949
19028,18975,18975,18975
18902,18865,18865,18865
19065,19001,19001,19001
1884,18968,18968,18968
19822,19751,19751,19751
19764,19484,19683,19484
19251,19367,19367,19367
19386,19126,1928,19126
19211,19209,19209,19209
19083,19005,19005,19005
18969,19076,19076,19076
19089,19097,19097,19097
1942,19214,19335,19214
1936,1919,19261,1919
19351,19263,19264,19246
19341,19405,19405,19076
19585,19251,19486,19251
19445,19229,19366,19219
19412,19419,19419,19419
19364,19344,19344,19275
19388,19232,19232,19192
1938,19294,19294,19267
19245,19399,19399,19399
19587,19535,19577,19487
1956,19305,19562,19295
19255,19028,19162,1899
19195,19181,19181,19181
19363,19372,19422,19005
1947,1937,1937,1937
19344,19296,19337,19213
19432,19276,19355,19212
19227,19251,19251,19251
19302,19074,19212,19074
19092,18837,19055,1872
18929,18851,18851,188
19031,18799,18926,18747
18953,19194,19194,19194
19361,19379,19405,19255
19386,19455,19455,19455
19905,19742,1982,19736
19782,19708,19744,19653
19999,19891,19979,1985
19956,19861,19975,1981
19931,19741,19878,19728
19765,198,198,198
19921,19711,19914,19694
19814,19529,19736,19464
19703,19575,19659,19388
19371,19407,19474,193045
194065,19419,19443,193765
19616,19566,19595,19519
19654,1962,1969,1962
19743,19883,19909,19599
20093,20186,20186,1995
20095,19911,20023,19911
20013,199,199,199
19636,1961,1961,1961
19853,1992,1992,1992
19561,19583,19584,19583
19733,19625,19794,19559
19806,19823,19823,19599
19802,19682,19712,19682
20036,20055,20055,20006
20477,20244,20411,20232
20326,19817,20123,19716
19878,2,2,1992
20097,19961,20015,19796
19879,1964,1964,1964
19875,20637,20637,19943
20842,20687,208,2065
2073,21217,21217,21217
21152,20867,2115,20859
20933,20985,20985,20905
20629,20246,20684,20187
20279,20269,204,20154
20269,20052,2035,20052
20067,2016,2016,19889
2017,2001,2025,2001
20057,20081,20281,19672
19974,19648,19999,19648
19657,19418,1961,1941
19552,19233,1945,19233
19266,19095,19242,19064
18989,18676,18913,1867
18676,1862,18624,1862
1861,18406,1851,18401
18541,1856,1856,1856
18694,18623,18631,18543
18695,185,18639,185
18714,18573,18583,18573
18581,18537,18537,18513
18601,18719,18719,18719
18768,18518,18676,18518
18562,18339,18536,18339
18347,18258,18286,18258
17876,17869,17887,178365
18283,1799,18213,17988
1818,183,1838,183
18365,18169,1835,18139
1816,18165,18165,18112
