Terakhir_Emas,Pembukaan_Emas,Tertinggi_Emas,Terendah_Emas,Terakhir_Minyak,Pembukaan_Minyak,Tertinggi_Minyak,Terendah_Minyak
1083.00,1097.10,1161.20,1073.20,72.89,79.63,83.95,72.43
1118.30,1081.00,1127.40,1045.20,79.66,72.84,80.51,69.50
1113.30,1119.30,1145.00,1085.50,83.76,79.84,83.85,78.06
1180.10,1112.90,1181.30,1111.30,86.15,83.36,87.09,80.53
1212.20,1178.60,1246.50,1159.20,73.97,86.20,87.15,64.24
1245.50,1217.00,1264.80,1196.90,75.63,73.97,79.38,69.51
1181.70,1241.70,1242.40,1158.70,78.95,75.37,79.69,71.09
1248.30,1181.80,1249.40,1174.70,71.92,78.95,82.97,70.76
1307.80,1252.30,1315.20,1239.00,79.97,71.70,80.18,71.67
1357.10,1309.00,1383.90,1309.00,81.43,79.84,84.43,79.25
1385.00,1360.30,1423.20,1327.50,84.11,81.45,88.63,80.06
1421.10,1386.80,1431.10,1362.50,91.38,83.66,92.06,83.63
1333.80,1415.60,1423.90,1307.70,92.19,91.31,92.84,85.11
1409.30,1333.10,1415.70,1324.90,96.97,92.20,103.41,83.85
1438.90,1415.30,1446.90,1385.50,106.72,96.97,106.95,96.22
1556.00,1433.40,1568.70,1413.00,113.93,106.62,114.18,105.31
1535.90,1572.90,1576.60,1471.00,102.70,113.89,114.83,94.63
1502.30,1535.70,1558.50,1490.70,95.42,102.68,103.31,89.61
1628.30,1502.20,1634.90,1480.00,95.70,95.12,100.62,93.45
1828.50,1623.00,1909.30,1607.00,88.81,96.20,98.60,75.71
1620.40,1825.80,1911.60,1562.40,79.20,88.73,90.52,77.11
1724.20,1627.80,1752.00,1596.60,93.19,78.92,94.65,74.95
1745.50,1706.70,1797.00,1674.40,100.36,92.58,103.37,89.17
1565.80,1747.00,1762.90,1525.00,98.83,100.51,102.44,92.52
1737.80,1568.90,1747.70,1566.00,98.48,99.70,103.74,97.40
1709.90,1738.20,1790.40,1669.00,107.07,98.38,109.95,95.44
1669.30,1698.60,1724.60,1633.80,103.02,106.82,110.55,102.13
1663.40,1670.40,1682.80,1613.00,104.87,103.27,105.49,100.68
1562.60,1665.00,1670.50,1528.50,86.53,104.89,106.43,85.86
1603.50,1560.00,1639.70,1545.50,84.96,86.44,87.03,77.28
1610.50,1597.10,1627.50,1557.20,88.06,84.65,92.94,82.10
1684.60,1613.40,1690.00,1583.10,96.47,88.03,98.29,86.92
1771.10,1689.10,1785.30,1687.70,92.19,96.38,100.42,88.95
1717.50,1766.00,1794.80,1698.60,86.24,92.15,93.66,84.66
1710.90,1722.30,1750.50,1674.30,88.91,86.10,89.80,84.05
1674.80,1714.90,1722.30,1635.80,91.82,88.85,91.99,85.21
1660.60,1672.80,1694.70,1625.70,97.49,91.78,98.24,91.52
1577.70,1663.90,1683.40,1554.50,92.05,97.42,98.15,91.57
1594.80,1579.60,1613.10,1561.80,97.23,91.76,97.35,89.33
1472.20,1596.80,1602.60,1323.00,93.46,97.36,97.80,85.61
1392.60,1475.80,1487.10,1342.90,91.97,93.08,97.17,90.11
1223.80,1389.10,1422.70,1183.20,96.56,91.73,99.01,91.26
1312.40,1234.70,1345.10,1208.90,105.03,96.58,109.32,96.07
1396.10,1323.00,1428.00,1274.00,107.65,105.26,112.24,102.22
1326.50,1393.00,1414.40,1292.10,102.33,107.07,110.70,101.05
1323.60,1328.00,1359.70,1254.10,96.38,102.31,104.38,95.95
1250.60,1325.70,1325.70,1229.00,92.72,96.32,96.65,91.77
1201.90,1251.40,1267.00,1182.00,98.42,92.71,100.75,92.56
1240.10,1204.30,1269.40,1204.30,97.49,98.50,98.97,91.24
1321.40,1242.40,1344.00,1241.20,102.59,97.40,103.80,96.26
1283.40,1335.90,1391.40,1282.40,101.58,103.00,105.22,97.37
1295.60,1285.10,1330.00,1272.40,99.74,101.53,104.99,98.86
1245.60,1288.70,1314.20,1241.80,102.71,99.72,104.50,98.74
1321.80,1250.00,1328.70,1240.50,105.37,102.92,107.73,101.60
1281.30,1326.70,1343.70,1280.60,98.17,105.44,106.09,97.60
1285.80,1284.10,1322.10,1272.00,95.96,97.70,98.67,92.50
1210.50,1284.50,1286.40,1204.00,91.16,95.81,95.91,90.43
1171.10,1207.70,1247.00,1161.40,80.54,91.36,92.96,79.44
1175.20,1166.40,1202.40,1132.90,66.15,80.59,80.98,65.69
