Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
1832.05,1835.35,1844.75,1829.40,83.28,85.85,86.08,82.17
1835.25,1835.65,1837.40,1832.20,85.85,85.00,85.87,84.76
1831.80,1840.60,1843.70,1828.40,85.14,84.57,85.56,82.78
1842.60,1840.10,1848.50,1836.20,86.90,86.23,87.82,86.00
1843.20,1812.90,1843.90,1809.00,86.96,86.61,87.91,85.77
1812.40,1818.70,1822.90,1804.70,85.43,84.32,86.63,83.50
1819.05,1815.85,1822.90,1812.25,83.69,83.84,83.95,82.94
1815.75,1816.40,1818.10,1815.15,83.83,83.78,84.09,83.68
1816.50,1822.10,1829.30,1814.20,83.82,81.73,84.45,81.58
1821.40,1825.70,1828.30,1811.80,82.12,82.82,82.94,81.39
1827.30,1821.30,1828.20,1814.40,82.64,81.38,83.10,81.17
1818.50,1801.30,1823.10,1799.70,81.22,78.42,81.59,78.36
1798.80,1796.40,1802.00,1789.30,78.23,78.88,79.45,77.83
1797.40,1791.00,1798.40,1781.30,78.90,79.62,80.47,78.52
1789.20,1810.60,1811.60,1785.40,79.46,77.24,80.24,76.73
1825.10,1815.20,1830.70,1808.20,77.85,77.18,78.58,76.51
1814.60,1801.10,1817.20,1798.10,76.99,76.02,77.64,75.70
1800.10,1830.10,1833.00,1798.20,76.08,75.69,76.46,74.27
1828.60,1817.00,1831.40,1815.40,75.21,76.66,77.08,74.95
1814.10,1805.60,1818.10,1796.20,76.99,76.58,77.44,75.78
1805.80,1806.60,1808.00,1789.10,76.56,76.04,77.37,75.36
1810.90,1812.10,1821.60,1805.50,75.98,75.97,76.92,75.53
1808.80,1810.20,1814.60,1803.60,75.57,73.38,76.09,72.57
1811.70,1805.60,1812.00,1799.00,73.79,73.03,73.95,72.27
1802.20,1789.40,1806.30,1785.80,72.76,71.27,73.16,70.80
1788.70,1791.40,1801.70,1785.00,71.12,69.21,71.55,68.56
1794.60,1800.20,1804.60,1789.00,68.23,70.07,70.07,66.04
1804.90,1801.50,1815.70,1796.50,70.86,71.92,72.26,69.89
1798.20,1777.90,1800.70,1775.70,72.38,71.48,72.99,71.03
1764.50,1771.90,1781.30,1753.00,70.87,70.35,71.66,69.39
1772.30,1787.60,1789.80,1766.10,70.73,71.12,72.03,69.51
1788.30,1784.20,1792.80,1782.20,71.29,72.04,73.00,70.71
1784.80,1776.30,1791.00,1770.40,71.67,70.68,72.33,70.32
1776.70,1784.30,1788.40,1773.30,70.94,72.52,73.34,70.39
1785.50,1785.10,1794.30,1780.10,72.36,71.86,73.00,70.91
1784.70,1779.50,1789.30,1772.40,72.05,69.72,73.03,69.52
1779.50,1787.70,1789.00,1776.40,69.49,67.02,70.15,66.72
1783.90,1769.40,1788.00,1766.00,66.26,67.50,69.22,65.60
1762.70,1783.80,1785.20,1762.20,66.50,65.63,67.49,62.43
1784.30,1777.40,1795.70,1773.70,65.57,67.01,69.49,64.84
1776.50,1786.90,1811.40,1771.20,66.18,70.04,71.22,64.43
1785.20,1795.20,1801.50,1782.00,69.95,69.23,72.93,68.86
1788.10,1792.30,1819.30,1781.60,68.15,78.34,78.65,67.40
1792.40,1789.80,1795.30,1787.75,77.41,78.38,78.65,77.28
1786.90,1792.30,1798.80,1780.20,78.39,78.48,79.23,77.98
1786.30,1808.70,1815.20,1784.30,78.50,76.46,78.86,75.30
1809.10,1850.70,1853.00,1805.30,76.75,75.75,77.16,74.76
1854.30,1863.80,1870.50,1847.00,76.10,78.76,79.92,75.37
1864.00,1871.70,1875.90,1859.40,79.01,78.34,79.36,77.08
1872.80,1854.50,1873.10,1853.80,78.36,80.54,80.69,77.69
1856.70,1867.40,1881.90,1853.50,80.76,80.93,81.81,80.03
1869.20,1876.30,1876.30,1861.00,80.88,80.66,81.20,79.30
1870.80,1866.30,1873.30,1849.90,80.79,81.21,81.62,79.78
1866.30,1853.90,1870.80,1847.60,81.59,81.41,82.33,80.20
1850.60,1835.70,1872.80,1825.20,81.34,84.53,84.97,80.81
1832.90,1828.40,1836.90,1823.20,84.15,82.16,84.63,81.78
1830.20,1822.20,1830.40,1815.90,81.93,81.13,82.67,81.05
1819.00,1794.80,1822.20,1787.60,81.27,79.37,81.80,78.96
1795.60,1773.00,1802.20,1773.00,78.81,80.18,83.42,78.25
1766.00,1791.00,1791.00,1761.00,80.86,83.07,83.08,79.69
1791.50,1796.70,1799.40,1789.70,83.91,83.87,84.41,82.92
1797.90,1786.80,1799.50,1782.90,84.05,83.36,84.88,82.74
1785.90,1803.30,1804.20,1774.60,83.57,83.09,83.74,81.41
1804.70,1799.90,1814.60,1795.20,82.81,82.25,83.21,80.58
1800.80,1796.50,1802.70,1786.70,82.66,84.39,84.51,82.01
1795.40,1810.80,1811.20,1784.90,84.65,83.72,84.88,82.97
1808.80,1796.40,1813.30,1795.30,83.76,83.98,85.41,83.39
1798.30,1786.80,1817.50,1785.60,83.76,82.61,84.22,81.76
1783.80,1784.50,1791.60,1780.00,82.50,83.58,83.96,80.79
1786.80,1771.50,1791.10,1771.10,83.87,83.34,84.25,81.30
1772.40,1766.80,1787.70,1765.60,82.96,82.37,83.74,81.80
1767.60,1769.50,1773.60,1762.80,82.44,82.60,83.87,81.84
1770.20,1799.40,1799.40,1767.00,82.28,81.48,82.66,81.39
1799.80,1795.70,1803.60,1789.90,81.31,80.59,81.68,80.38
1796.70,1761.90,1798.40,1760.00,80.44,80.58,81.04,79.42
1761.20,1755.70,1771.70,1753.80,80.64,80.50,81.62,79.47
1757.70,1760.30,1762.30,1752.10,80.52,79.59,82.18,79.55
1759.40,1756.40,1783.20,1755.60,79.35,78.86,80.11,78.63
1761.10,1765.70,1769.30,1754.50,78.30,77.00,78.89,74.96
1763.70,1762.40,1767.40,1747.90,77.43,79.04,79.78,76.83
1762.80,1772.90,1772.90,1751.10,78.93,77.58,79.48,77.47
1769.40,1762.40,1772.60,1749.70,77.62,75.90,78.38,75.32
1760.10,1759.10,1766.40,1751.60,75.88,75.12,75.99,74.23
1758.50,1728.10,1766.30,1724.50,75.03,74.78,76.07,73.14
1724.90,1736.00,1747.60,1723.70,74.83,74.38,75.79,73.74
1739.50,1752.80,1755.60,1729.90,75.29,75.43,76.67,74.24
1754.00,1754.20,1762.60,1748.00,75.45,74.19,75.75,74.16
1753.80,1746.00,1759.90,1743.00,73.98,73.24,74.27,72.81
1751.80,1771.40,1778.60,1740.00,73.30,71.97,73.50,71.61
1781.00,1777.10,1789.70,1767.20,72.23,70.85,72.30,70.64
1780.30,1767.80,1784.60,1761.30,70.56,70.59,71.63,69.67
1765.90,1755.60,1770.00,1745.60,70.29,71.92,72.08,69.86
1753.40,1756.80,1769.10,1750.00,71.97,72.62,72.72,71.21
