Terakhir,Pembukaan,Tertinggi,Terendah
184045,183945,184235,183665
184260,184010,184850,183620
184320,181290,184390,180900
181240,181870,182290,180470
181905,181585,182290,181225
181575,181640,181810,181515
181650,182210,182930,181420
182140,182570,182830,181180
182730,182130,182820,181440
181850,180130,182310,179970
179880,179640,180200,178930
179740,179100,179840,178130
178920,181060,181160,178540
182510,181520,183070,180820
181460,180110,181720,179810
180010,183010,183300,179820
182860,181700,183140,181540
181410,180560,181810,179620
180580,180660,180800,178910
181090,181210,182160,180550
180880,181020,181460,180360
181010,181010,181010,181010
181170,180560,181200,179900
180220,178940,180630,178580
178870,179140,180170,178500
179460,180020,180460,178900
180490,180150,181570,179650
179820,177790,180070,177570
176450,177190,178130,175300
177230,178760,178980,176610
178830,178420,179280,178220
178480,177630,179100,177040
177670,178430,178840,177330
178550,178510,179430,178010
178470,177950,178930,177240
177950,178770,178900,177640
178390,176940,178800,176600
176270,178380,178520,176220
178430,177740,179570,177370
177650,178690,181140,177120
178520,179520,180150,178200
178810,179230,181930,178160
179240,178980,179530,178775
178690,179230,179880,178020
178630,180870,181520,178430
180910,185070,185300,180530
185430,186380,187050,184700
186400,187170,187590,185940
187280,185450,187310,185380
185670,186740,188190,185350
186920,187630,187630,186100
187080,186630,187330,184990
186630,185390,187080,184760
185060,183570,187280,182520
183290,182840,183690,182320
183020,182220,183040,181590
181900,179480,182220,178760
179560,177300,180220,177300
176600,179100,179100,176100
179150,179670,179940,178970
179790,178680,179950,178290
178590,180330,180420,177460
180470,179990,181460,179520
180080,179650,180270,178670
179540,181080,181120,178490
180880,179640,181330,179530
179830,178680,181750,178560
178380,178450,179160,178000
178680,177150,179110,177110
177240,176680,178770,176560
176760,176950,177360,176280
177020,179940,179940,176700
179980,179570,180360,178990
179670,176190,179840,176000
176120,175570,177170,175380
175770,176030,176230,175210
175940,175640,178320,175560
176110,176570,176930,175450
176370,176240,176740,174790
176280,177290,177290,175110
176940,176240,177260,174970
176010,175910,176640,175160
175850,172810,176630,172450
172490,173600,174760,172370
173950,175280,175560,172990
175400,175420,176260,174800
175380,174600,175990,174300
175180,177140,177860,174000
178100,177710,178970,176720
178030,176780,178460,176130
