provinsi,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Banda Aceh,10244.09,9735.41,9330.47,9075.62,8606.16,8247.31,6993.89,6532.56,6258.32,5598.14,4596.24,3463.38,2982.49,2392.71,2557.76,2390.20,2188.53
Medan,10547.87,10146.74,9574.73,9171.82,8601.97,7725.61,6954.47,6390.29,5894.92,5567.09,4883.30,4077.71,3341.93,3024.88,3006.65,2644.80,2495.77
Padang,12789.53,12258.02,11712.50,9558.50,9620.26,9878.17,8007.47,7117.49,6653.31,6289.66,4990.30,4432.48,3534.07,3042.41,3322.95,2691.21,2689.81
Pekanbaru,12270.42,11711.67,11171.72,9886.08,9601.14,9600.82,7888.78,7081.20,6562.43,5820.74,5098.16,4333.92,3253.74,3293.96,3560,3077.50,2841.62
Tanjung Pinang,10573.25,12424.87,11365.26,10321.85,9786.41,8031.48,9350.89,7781.60,7571.66,,,,,,,,
Jambi,9644.11,10335.91,9683.54,9159.88,8710,7631.13,7335.81,6142.24,5973.92,5233.07,4211.94,3256.04,2939.77,3017.71,2999.17,2650.83,2401.56
Palembang,10370.57,9644.30,8876.55,8676.74,8407.40,7643.67,6824.81,5840.13,5552.26,5125.18,4554.79,3220.18,2833.32,2541.88,2615.47,2335.57,2091.15
Pangkal Pinang,9966.58,10751.58,9528.82,9291.09,8898.21,7667.32,6712.67,5804.45,5841.16,5395.01,4635.36,3205.76,2955.38,,,,
Bengkulu,11416.46,10419.91,9696.08,8401.98,8116.50,7556.16,6742.39,5776.42,5480.81,5377.33,4534.53,3437,2800.63,3026.14,3300.15,2848.02,2549.88
Bandar Lampung,13767.38,10200.47,9817.36,8974.06,8754.79,10574.74,6515.60,5948.41,5621.70,5032.35,4728.36,3764.50,3023.35,2403.63,2525.45,2288.47,2224.71
Jakarta,12413.75,11732.98,10027.05,9447.22,9037.23,9929.83,7982.68,6143.26,5838.09,5841.67,4783.63,3638.28,3310.55,3268.44,3389.14,2850.63,2777.65
Bandung,11231.04,10695.56,9018.31,8571.61,8405.67,7639.10,6888.16,5779.26,5599,5591.41,4621.10,3382.89,2974.62,3202.14,3240.64,2595.64,2476.80
Serang,10379.40,9151.21,8151.26,7931.05,7708.31,7761.37,5868.78,5087.39,5020.62,5027.82,4618.05,3579.95,3030.27,,,,
Semarang,9872.40,9902.22,9187.41,8791.97,8398.18,7183.22,6668.52,5644.64,5469.96,5219.45,4578.44,3460.91,2979.51,2562.25,2587.94,2411.27,2218.61
Yogyakarta,10249.07,9771.84,9062.10,8383.10,7902.48,7798.90,6357.81,5563.05,5241.32,5051.82,4309.27,3211.40,2532.06,2517.28,2752.02,2517.62,2354.63
Surabaya,9553.36,10132.20,9209.61,8794.77,8335.03,6493.79,6673.45,5578.45,5240.08,5183.05,4380.13,3444.11,2921.76,2642.97,2629.94,2224.80,2240.08
Denpasar,10580.99,10378.28,9315.86,9044.05,8647.23,8332.57,7173.71,5794.45,5419.46,5173.03,4756.27,4394.11,3669.53,2849.29,2897.71,2553.42,2337.47
Mataram,9720.53,9608,8576.47,7776.14,7704.52,6609.87,6185.78,5133.18,4843.46,4645.96,3941.78,3158.45,2455.71,2551.02,2662.77,2202.82,2009.38
Kupang,11084.87,9999.64,9127.71,8921.70,8435.67,8058.16,7404.06,6271.66,5957.70,5429,4779.53,3653,3055.40,3586.53,3656.10,3229.09,3281.77
Pontianak,12477.20,12012.61,10814.36,10326.79,9828.72,9116.78,8162.34,6579.09,6387.73,5589.68,4768.48,3593.68,3110.91,2686.67,2779.17,2361.67,2349.93
Palangkaraya,13813.61,14727.73,12421.42,10742.08,11006.28,10882.96,9133.91,6373.52,6010.74,5841.17,5528.42,3614.27,3361.47,3137.50,3027.29,2971.92,2464.59
Banjarmasin,12910.90,12533.07,11272.31,9960.22,10127.24,9343.89,7774.83,5335.93,5024.82,5310.45,4768.38,2954.67,2822.50,3151.30,3172.92,3113.54,2931.48
Samarinda,11248.34,11429.31,11088.35,9563.21,9053.94,8056.50,7199.49,6261.48,5699.39,5385.50,4661.36,3742.22,3198.50,3551.46,3436,2841.24,2739.48
Manado,11665.84,10470.17,9223.42,8901.29,8706.13,7677.71,7288.34,6431.62,5684.16,5331.13,4835.97,4191.55,3416.54,3027.08,2964.17,2564.65,2619.44
Gorontalo,10358.26,9362.14,8620.03,8398,8237.56,7014.97,7174.76,6406.41,5645.97,5544.28,4210.76,3265.47,3145.69,,,,
Palu,9924.58,9446.11,8266.71,7949.16,7958.49,6503.52,6515,5676.91,4970.38,4787.18,4343.55,4175.99,2962.86,2582.85,2551.04,2239.77,1806.25
Makassar,10666.58,9040.99,7690.31,7565.25,7501.46,6706.13,5922.01,5132.31,4798.78,4919.18,4016.28,3356.84,2599.18,2338.42,2463.17,1927.36,1761.56
Mamuju,10773.81,8826.79,8107.55,7876.03,7489.85,7613.73,6666.35,5664.55,5101.07,,,,,,,,
Kendari,9551.98,9937.78,8446.03,8283.12,8186.44,6889.85,6429.68,5823.58,4679.82,4966.37,4053.27,3265.22,2445.02,2618.37,2637.84,2185.20,1892.56
Ambon,11818.78,11440.15,10292.05,9381.29,8981.29,8394.32,7504.53,6433.64,6170.24,5815.38,5031.12,3554.08,3223.46,3697.92,3629.43,3057.05,3055.16
Ternate,12030.75,11727.36,10447.98,9757,9462.62,8785.25,7980.56,6771.75,6766.44,6313.56,5375.19,4070.45,3372.28,,,,
Jayapura,12376.07,12393.81,11295.57,10325.14,10205.05,7551.39,7536.79,7576.48,7586.64,6763.07,4951.16,4054.68,3971.99,3131.95,3481.11,2429.17,2436.67
Manokwari,12965.26,11188.78,10686.52,10013.37,9137.30,9284.97,6977.41,6674.23,6533.12,,,,,,,,
