Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
82.55,85.00,86.08,82.17,14342.5,14315.0,14353.0,14307.0
85.14,84.32,87.91,82.78,14335.0,14312.5,14377.5,14291.5
83.82,78.88,84.45,77.83,14295.0,14312.5,14342.5,14272.5
78.90,75.69,80.47,74.27,14355.0,14255.0,14404.0,14249.0
75.21,73.38,77.44,72.57,14250.0,14225.0,14287.5,14207.5
73.79,70.07,73.95,66.04,14220.0,14387.5,14392.5,14180.0
70.86,72.04,73.00,69.39,14365.0,14357.5,14391.5,14315.0
71.67,67.02,73.34,66.72,14370.0,14440.0,14449.0,14310.0
66.26,69.23,72.93,62.43,14395.0,14370.0,14412.5,14292.5
68.15,75.75,79.23,67.40,14300.0,14245.0,14345.0,14245.0
76.10,80.66,81.81,75.37,14235.0,14215.0,14272.5,14187.5
80.79,81.13,84.97,79.78,14233.0,14325.0,14332.5,14220.0
81.27,83.36,84.88,78.25,14325.0,14185.0,14392.5,14185.0
83.57,83.98,85.41,80.58,14165.0,14165.0,14215.0,14142.5
83.76,82.60,84.25,80.79,14120.0,14060.0,14169.0,14040.0
82.28,79.59,82.66,79.42,14070.0,14215.0,14229.0,14062.0
79.35,75.90,80.11,74.96,14220.0,14307.5,14336.5,14197.5
75.88,74.19,76.67,73.14,14305.0,14260.0,14335.0,14247.5
73.98,71.92,74.27,69.67,14255.0,14270.0,14287.5,14228.5
71.97,69.74,73.14,69.51,14225.0,14245.0,14282.5,14195.0
69.72,69.11,69.96,67.56,14200.0,14247.5,14288.5,14176.5
69.29,69.30,70.61,67.12,14260.0,14405.0,14410.0,14252.5
68.74,61.96,69.05,61.74,14415.0,14435.0,14447.5,14377.5
62.32,67.71,68.27,62.11,14450.0,14390.0,14485.0,14371.5
68.44,67.88,69.62,65.15,14385.0,14370.0,14408.5,14357.5
68.28,73.91,73.95,67.61,14350.0,14465.0,14472.5,14304.5
73.95,72.18,74.23,70.56,14460.0,14510.0,14522.5,14434.5
72.07,71.49,72.21,65.21,14490.0,14512.5,14560.0,14482.5
71.81,74.74,75.52,70.41,14495.0,14485.0,14542.5,14459.0
74.56,75.35,76.98,70.76,14525.0,14487.5,14559.5,14456.0
75.16,73.99,76.22,71.97,14530.0,14415.0,14572.5,14415.0
74.05,71.52,74.25,71.15,14420.0,14390.0,14470.0,14390.0
71.64,70.65,72.99,69.77,14370.0,14200.0,14402.5,14197.5
70.91,69.52,71.24,68.47,14188.0,14275.0,14288.0,14183.0
69.62,66.68,69.76,66.41,14290.0,14295.0,14325.0,14247.5
66.32,63.87,67.52,63.63,14280.0,14350.0,14367.5,14278.5
63.58,65.50,67.01,61.56,14350.0,14250.0,14405.0,14215.0
65.37,65.57,66.63,63.09,14195.0,14145.0,14215.0,14140.0
64.90,63.64,66.76,62.91,14280.0,14450.0,14480.0,14247.0
63.58,62.06,65.47,60.66,14440.0,14515.0,14540.0,14424.5
62.14,62.98,64.25,60.61,14520.0,14537.5,14570.0,14482.5
63.13,59.35,63.88,58.73,14560.0,14575.0,14639.0,14550.0
59.32,61.50,61.50,57.63,14560.0,14520.0,14587.5,14470.0
61.45,60.93,62.27,58.85,14520.0,14420.0,14594.5,14420.0
60.97,61.55,61.90,57.25,14410.0,14415.0,14465.0,14390.0
61.42,65.56,66.40,58.20,14400.0,14400.0,14475.0,14375.0
65.61,66.68,67.98,63.13,14380.0,14350.0,14475.0,14325.0
66.09,61.95,66.42,59.24,14290.0,14250.0,14360.0,14232.5
61.50,58.88,63.81,58.82,14240.0,14070.0,14275.0,14065.0
59.24,59.98,62.26,58.59,14060.0,13972.5,14100.5,13866.0
59.47,57.06,59.82,57.00,13970.0,14020.0,14023.5,13965.0
56.85,51.99,57.29,51.64,14020.0,14035.0,14057.5,13992.5
52.20,52.17,53.58,51.82,14020.0,14055.0,14126.5,14020.0
