Terakhir_Minyak,Pembukaan_Minyak,Tertinggi_Minyak,Terendah_Minyak,Terakhir_IHSG,Pembukaan_IHSG,Tertinggi_IHSG,Terendah_IHSG
"82,55","85,00","86,08","82,17","6.655,17","6.700,82","6.712,26","6.645,41"
"85,14","84,32","87,91","82,78","6.726,37","6.711,41","6.726,37","6.534,27"
"83,82","78,88","84,45","77,83","6.693,40","6.697,38","6.727,77","6.625,76"
"78,90","75,69","80,47","74,27","6.701,32","6.586,26","6.738,11","6.586,13"
"75,21","73,38","77,44","72,57","6.581,48","6.570,56","6.621,58","6.562,55"
"73,79","70,07","73,95","66,04","6.562,90","6.571,35","6.592,17","6.529,59"
"70,86","72,04","73,00","69,39","6.601,93","6.663,74","6.688,38","6.559,30"
"71,67","67,02","73,34","66,72","6.652,92","6.552,82","6.652,92","6.525,98"
"66,26","69,23","72,93","62,43","6.538,51","6.552,80","6.647,48","6.484,58"
"68,15","75,75","79,23","67,40","6.561,55","6.731,52","6.754,46","6.544,90"
"76,10","80,66","81,81","75,37","6.720,26","6.661,85","6.720,99","6.592,23"
"80,79","81,13","84,97","79,78","6.651,05","6.599,40","6.714,16","6.592,06"
"81,27","83,36","84,88","78,25","6.581,79","6.618,12","6.627,85","6.480,01"
"83,57","83,98","85,41","80,58","6.591,35","6.626,37","6.680,12","6.509,88"
"83,76","82,60","84,25","80,79","6.643,74","6.649,28","6.687,13","6.585,56"
"82,28","79,59","82,66","79,42","6.633,34","6.482,96","6.680,01","6.451,68"
"79,35","75,90","80,11","74,96","6.481,77","6.234,80","6.497,66","6.234,80"
"75,88","74,19","76,67","73,14","6.228,85","6.141,47","6.286,94","6.086,26"
"73,98","71,92","74,27","69,67","6.144,81","6.132,03","6.163,88","5.996,41"
"71,97","69,74","73,14","69,51","6.133,25","6.080,06","6.137,67","6.052,97"
"69,72","69,11","69,96","67,56","6.094,87","6.137,13","6.150,36","5.982,77"
"69,29","69,30","70,61","67,12","6.126,92","6.062,11","6.169,06","6.054,28"
"68,74","61,96","69,05","61,74","6.041,37","6.037,70","6.138,50","6.021,95"
